sample_id,cancer_type,reference_dataset,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
TCGA-CV-6953-01A,HNSC,simu_bulk_2ds_ref,0.011,0.031,0.006,0.818,0,0.023,0.003,0.108,0,0.001,0
TCGA-CV-7261-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0,0.747,0.001,0.035,0.125,0.077,0.003,0.004,0.003
TCGA-P3-A5QF-01A,HNSC,simu_bulk_2ds_ref,0,0.007,0,0.877,0,0.023,0.003,0.088,0,0.002,0
TCGA-CR-6470-01A,HNSC,simu_bulk_2ds_ref,0.109,0.081,0.059,0.428,0.02,0.047,0.126,0.121,0,0.008,0
TCGA-CV-5979-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.904,0,0.015,0.032,0.046,0,0.003,0
TCGA-CR-6471-01A,HNSC,simu_bulk_2ds_ref,0,0.07,0.048,0.59,0.003,0.045,0.098,0.143,0,0.001,0
TCGA-CV-7430-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0,0.931,0,0.03,0.013,0.022,0,0.002,0
TCGA-CV-7099-01A,HNSC,simu_bulk_2ds_ref,0,0.003,0.023,0.805,0,0.016,0.01,0.13,0,0.013,0
TCGA-CQ-6221-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.253,0,0.086,0.507,0.153,0,0.001,0
TCGA-CN-6992-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.771,0.004,0.052,0.082,0.074,0,0.004,0
TCGA-BA-5556-01A,HNSC,simu_bulk_2ds_ref,0,0.04,0.068,0.61,0.033,0.052,0.025,0.152,0,0.019,0
TCGA-CV-7245-01A,HNSC,simu_bulk_2ds_ref,0,0.001,0.003,0.846,0.001,0.026,0.094,0.028,0,0.002,0
TCGA-UF-A7JV-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.73,0,0.012,0.066,0.177,0,0.001,0
TCGA-CV-5440-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.857,0,0.032,0.072,0.038,0,0.002,0
TCGA-UF-A7JO-01A,HNSC,simu_bulk_2ds_ref,0,0.026,0.028,0.631,0.001,0.021,0.028,0.255,0,0.011,0
TCGA-CV-A45V-01A,HNSC,simu_bulk_2ds_ref,0,0.025,0.008,0.7,0,0.053,0.086,0.116,0,0.01,0.003
TCGA-H7-7774-01A,HNSC,simu_bulk_2ds_ref,0,0.028,0.012,0.822,0,0.023,0,0.111,0,0.003,0
TCGA-CQ-A4CG-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.86,0,0.017,0.082,0.04,0,0.001,0.001
TCGA-CV-5970-01A,HNSC,simu_bulk_2ds_ref,0,0.012,0,0.693,0.006,0.04,0.133,0.108,0,0.005,0.002
TCGA-BB-4217-01A,HNSC,simu_bulk_2ds_ref,0.165,0.133,0.005,0.504,0.014,0.062,0.051,0.054,0,0.011,0
TCGA-CR-5248-01A,HNSC,simu_bulk_2ds_ref,0.085,0.062,0.16,0.369,0.007,0.023,0.018,0.237,0,0.038,0
TCGA-CR-7394-01A,HNSC,simu_bulk_2ds_ref,0.033,0.051,0.108,0.355,0.018,0.069,0.131,0.227,0,0.003,0.004
TCGA-CV-7421-01A,HNSC,simu_bulk_2ds_ref,0,0,0,0.717,0,0.059,0.179,0.044,0,0.002,0
TCGA-CN-4729-01A,HNSC,simu_bulk_2ds_ref,0.002,0.027,0,0.752,0.004,0.054,0.092,0.054,0.004,0.003,0.008
TCGA-F7-A61V-01A,HNSC,simu_bulk_2ds_ref,0,0.011,0.004,0.907,0.001,0.022,0.024,0.029,0,0.002,0
TCGA-BA-A6D8-01A,HNSC,simu_bulk_2ds_ref,0,0.004,0,0.84,0.008,0.029,0.062,0.05,0,0.007,0
TCGA-CV-5971-01A,HNSC,simu_bulk_2ds_ref,0.002,0.043,0.013,0.257,0.031,0.13,0.349,0.152,0.004,0.015,0.003
TCGA-CQ-6220-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0.01,0.859,0,0.024,0.015,0.083,0,0.001,0.002
TCGA-IQ-A61J-01A,HNSC,simu_bulk_2ds_ref,0,0.019,0.002,0.639,0,0.043,0.151,0.137,0,0.009,0
TCGA-BA-7269-01A,HNSC,simu_bulk_2ds_ref,0,0.006,0,0.841,0,0.015,0.088,0.047,0,0.001,0
TCGA-CV-7178-01A,HNSC,simu_bulk_2ds_ref,0,0.018,0.022,0.544,0.001,0.047,0.187,0.175,0,0.007,0
TCGA-BB-A6UO-01A,HNSC,simu_bulk_2ds_ref,0,0.002,0,0.799,0,0.038,0.095,0.065,0,0.001,0
TCGA-CV-A468-01A,HNSC,simu_bulk_2ds_ref,0.005,0.057,0.061,0.467,0.011,0.042,0.177,0.165,0,0.014,0
TCGA-CV-6960-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0,0.907,0,0.017,0.046,0.021,0,0.001,0.003
TCGA-CV-7252-01A,HNSC,simu_bulk_2ds_ref,0,0.005,0.003,0.734,0,0.066,0.086,0.103,0,0.003,0
TCGA-CV-A45X-01A,HNSC,simu_bulk_2ds_ref,0,0.013,0,0.868,0,0.029,0.015,0.065,0,0.002,0.008
