"","T Cells","NK","Myeloid","B Cells","Endothelial Cells","Fibroblasts","Mast Cells","Cancer Cells","V9"
"TCGA.YA.A8S7.01A",0,0,0.128153488274025,0,0.293402892295507,0.0233420401153185,1.18435854836482e-05,0.497156923905094,0.0579328118245721
"TCGA.2Y.A9GY.01A",0,0,0.0668521036667344,0.0143707245340877,0.117311279771579,0.00281404386445553,0,0.685167586394441,0.113484261768702
"TCGA.UB.A7ME.01A",0,0,0.0056501098681593,0,0.0840012687989196,0.0183550957389402,0,0.833120759469264,0.0588727661247167
"TCGA.ED.A8O6.01A",0,0,0,0,0.0472547357229025,0.0200927229441566,6.53594944154733e-06,0.844590496800195,0.0880555085833042
"TCGA.ZP.A9D4.01A",0,0,0,0,0.0431036756311085,0.00136437151634093,2.45619512571764e-05,0.925599634233742,0.0299077566675516
"TCGA.DD.A1EH.01A",0,0,0,0,0.273090841607094,0.0309312886721747,0,0.545252519965865,0.150725349754866
"TCGA.DD.A11A.01A",0,0,0,0,0.0442128350351947,0.00424189678531228,0,0.949822731430042,0.00172253674945061
"TCGA.RC.A7SF.01A",0,0,0,0,0.0227927869862526,0.00548076739637385,0,0.971726445617374,0
"TCGA.HP.A5N0.01A",0,0,0,0,0.0604470307888017,0.0197461316045252,0,0.919806837606673,0
"TCGA.DD.A73E.01A",0,0,0,0,0.0647889033995424,0.0113684422206696,0.00171592364879782,0.885853110352072,0.0362736203789178
"TCGA.G3.A5SL.01A",0,0,0,0,0.0302239940261567,0.0105917525132635,0,0.95918425346058,0
"TCGA.2Y.A9H6.01A",0,0,0,0,0.0674754014825154,0.0155454843791072,0,0.916979114138377,0
"TCGA.WX.AA47.01A",0,0,0,0,0.0215453262695702,0.00357082150937558,0,0.974883852221054,0
"TCGA.MR.A520.01A",0,0,0,0,0.0150635876397261,0.0034125735283992,0,0.981523838831875,0
"TCGA.DD.A3A1.01A",0,0,0,0,0.00608204791654711,0.000209484133934432,0,0.993708467949519,0
