"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"TCGA.A6.2674.01A",2.60905639312089e-06,5.40397640388338e-05,0.29298367281594,0.0399536022030927,1.61753102514793e-09,8.73606025718996e-07,0.667005200936978
"TCGA.CA.6716.01A",6.93062383549641e-08,0.0459963173653008,0.0649956998112753,0.00875805487510191,2.77874175924378e-08,0.00412437914819923,0.876125451706467
"TCGA.NH.A6GC.01A",0.0447723223136599,0.0474229919050002,0.0992402776150264,0.00600591189092033,3.86234753492269e-09,0.00400327851398421,0.798555213899061
"TCGA.AA.3848.01A",0.00610654469055644,0.0587445477971436,0.00408357300919417,0.0124084443171512,2.25129158259614e-09,0.00495867892812048,0.913698209006543
"TCGA.AA.3684.01A",0.0138895895213103,0.221988437571923,0.0818836511119273,0.055585909988877,3.55195462869729e-08,0.0255779821574175,0.601074394128999
"TCGA.F4.6807.01A",0.0282386626291812,0.0204439392423069,0.289147168093764,0.0291816999639036,0.00661446813244662,0.0118213521227901,0.614552709815607
"TCGA.AA.3875.01A",0.0182107390120411,4.29762437631159e-08,0.062943627849216,0.0161533125211734,0.00378547242217591,8.46177113178289e-09,0.898906796757379
"TCGA.G4.6297.01A",8.38933677374346e-08,0.0429695807266377,0.185358057484284,0.0243950308184554,1.63649909604794e-08,0.000229484666177632,0.747047746046087
"TCGA.A6.5660.01A",5.00793311771734e-07,0.0322590470123499,0.109860353496942,0.0121696319130388,7.81302645047135e-10,0.00480059156541872,0.840909874437637
"TCGA.AZ.6607.01A",3.18147426117712e-07,4.34372134296205e-07,0.406547980200781,0.028329974928286,2.09673365655496e-08,2.73430300650766e-07,0.565120997953735
"TCGA.AZ.4308.01A",0.00428427144571937,0.144342486655063,0.0563156170307298,0.0129285000978132,5.60186406073916e-08,0.0291582879856703,0.752970780766363
"TCGA.AA.3524.01A",6.17234684981386e-05,1.61313345513137e-07,0.0709993670400496,0.0141430348209808,0.00202783849093248,6.70866178349072e-09,0.912767868157532
"TCGA.AA.3975.01A",0.00514361068657421,0.0425566861623657,0.0221898306589315,0.0179420765032068,5.89179625859498e-10,0.0117260647585722,0.90044173064117
"TCGA.AA.3666.01A",0.00580180154215955,0.0226821471246079,0.0228357073100787,0.0217678586183013,1.14670196321071e-09,0.0193369677543993,0.907575516503751
"TCGA.AA.3872.01A",0.000700921022971814,0.113713358397475,0.206539445450845,0.0259923313737925,6.02689534040942e-09,0.0281143963386754,0.624939541389346
"TCGA.AA.3979.01A",0.00130517515582735,1.650741279565e-09,0.0216329394728395,0.0061163984849599,2.55186910803015e-07,9.97796049858631e-07,0.970944232252671
"TCGA.CM.6168.01A",4.34534647742138e-08,0.028596735442703,0.274806658588268,0.0347556405764722,5.10094750209233e-06,0.00197663771646075,0.659859183275129
"TCGA.G4.6588.01A",4.323942756528e-08,0.0288164272539449,0.0429438900443466,0.0154168794129979,2.91229029289207e-08,0.0103762479432914,0.902446482983089
"TCGA.CM.5348.01A",5.15777448166156e-09,0.0750977924458066,0.182776370315867,0.0350456126837666,3.25790462131259e-07,0.0191150417607235,0.687964851845599
"TCGA.AA.3553.01A",0.0209668720506605,0.0248339612507876,0.0676858450119185,0.0232832574143212,1.16523943169394e-08,0.0248066540644713,0.838423398555447
"TCGA.AA.3833.01A",0.0208802220485869,0.0520993669895373,0.0867249623702011,0.0245863801872581,0.00100359284492795,0.0258172129832696,0.788888262576219
"TCGA.G4.6295.01A",0.0366273870606182,0.0161054815326582,0.0142232697930183,0.0237329156480302,0.0216045092595255,0.010580000302408,0.877126436403742
"TCGA.A6.2677.01A",0.00110944537931651,0.0117891128295045,0.0240897257803684,0.006873399696476,2.65265995356823e-10,0.00678462867523148,0.949353687373837
"TCGA.AA.3867.01A",0.012535553621246,0.0542991838533607,0.150422375204772,0.0240474976421354,3.11536776678847e-10,0.00464936214824169,0.754046027218708
"TCGA.AA.A00N.01A",6.76953731872869e-09,0.0276593681765889,0.11331021962221,0.0222481722087914,7.0929396331914e-08,0.00125776502599277,0.835524397267483
"TCGA.CK.5915.01A",1.77564949203126e-08,0.024570777570329,0.0117796761680408,0.00763559302627059,3.84825328781441e-06,0.00237639216389731,0.95363369506168
"TCGA.AA.3520.01A",0.00680371293096768,0.0268100866546003,0.126647500316283,0.0297464411731441,1.25133758125157e-07,3.3093255432849e-07,0.809991802858693
"TCGA.A6.5665.01A",0.00467321375010403,0.00462244763900429,0.0165923749193025,0.0137428638645976,0.0129906131734087,0.00995046094455397,0.937428025709029
"TCGA.G4.6303.01A",0.00762540435781749,0.0557941056509056,0.0805093871692346,0.00985481641185156,1.96050734902592e-08,0.00778643849174918,0.838429828313368
"TCGA.AA.A03F.01A",0.050492232561973,0.0294041511902297,4.65763144593974e-09,0.00566193047615337,7.1742276180731e-09,0.00587288430919365,0.908568789630591
"TCGA.DM.A1DB.01A",0.00226147503696535,0.0213473262075239,0.00512718378285683,0.00546918519833732,0.00178912287465078,0.0224999714737692,0.941505735425897
"TCGA.CM.6170.01A",0.00637880557122509,2.12431867780968e-09,0.0843891107595669,0.0140358765336391,1.1298110373912e-05,3.06583848450603e-06,0.895181841062392
"TCGA.A6.2680.01A",0.00778166612826955,0.0722333428929758,0.0247407581760894,0.0202416696520215,1.5284787515886e-08,0.00994823298349863,0.865054314882358
"TCGA.QG.A5YW.01A",0.0370568908155011,0.0224842984511454,0.0291206425235538,0.0151902553105803,1.4218876671921e-09,0.0165609298068123,0.879586981670519
"TCGA.AA.A024.01A",5.00548313825488e-09,0.0123742678234524,0.00676425113769584,0.0075958617064536,1.68547436878764e-05,0.00509426385990527,0.968154495723322
"TCGA.DM.A285.01A",0.00316918439338391,0.0405108548509883,0.114013231908973,0.00478865759714785,2.55776044212051e-09,0.00154186410289579,0.835976204588851
"TCGA.QG.A5YX.01A",6.79412097176127e-09,0.0162976549275931,0.00689810481347143,0.00740019744813895,7.22345224851714e-08,0.00642257456367192,0.962981389218481
