	0
1436	DKC1
1437	DKK3
1438	DLC1
1439	DLD
1440	DLEU7
1441	DLG2
1442	DLG3
1443	DLG4
1444	DLG5
1445	DLGAP5
1446	DLK2
1447	DLL1
1448	DLL3
1449	DMD
1450	DMKN
1451	DMPK
1452	DMWD
1453	DMXL2
1454	DNAAF1
1455	DNAJA1
1456	DNAJA2
1457	DNAJA4
1458	DNAJB1
1459	DNAJB11
1460	DNAJB4
1461	DNAJB5
1462	DNAJB9
1463	DNAJC1
1464	DNAJC10
1465	DNAJC4
1466	DNAJC8
1467	DNASE1L1
1468	DNASE1L3
1469	DNM1
1470	DNM2
1471	DNM3
1472	DNPEP
1473	DNPH1
1474	DOCK1
1475	DOCK10
1476	DOCK4
1477	DOCK6
1478	DOCK7
1479	DOCK9
1480	DOK1
1481	DOK2
1482	DOK3
1483	DOK4
1484	DOK5
1485	DOPEY2
1486	DOT1L
1487	DPCD
1488	DPF1
1489	DPM2
1490	DPP4
1491	DPP7
1492	DPP9
1493	DPY19L1
1494	DPY19L2
1495	DPY19L3
1496	DPY19L4
1497	DPYD
1498	DPYSL2
1499	DPYSL3
1500	DRAM1
1501	DRAM2
1502	DRAP1
1503	DRG2
1504	DSC2
1505	DSC3
1506	DSCC1
1507	DSCR3
1508	DSE
1509	DSEL
1510	DSG2
1511	DSP
1512	DSTN
1513	DTHD1
1514	DTL
1515	DTNA
1516	DTNBP1
1517	DTX1
1518	DTX3
1519	DTYMK
1520	DUOX2
1521	DUS1L
1522	DUSP1
1523	DUSP10
1524	DUSP12
1525	DUSP14
1526	DUSP19
1527	DUSP22
1528	DUSP23
1529	DUSP3
1530	DUSP4
1531	DUSP5
1532	DUSP6
1533	DUSP7
1534	DYNC1H1
1535	DYNC1I2
1536	DYNC1LI1
1537	DYNC1LI2
1538	DYNC2H1
1539	DYNC2LI1
1540	DYNLT3
1541	DYRK1A
1542	DYRK3
1543	DYSF
1544	DZIP3
1545	E2F1
1546	E2F2
1547	E2F3
1548	E2F5
1549	E2F7
1550	E2F8
1551	EAF1
1552	EAF2
1553	EBAG9
1554	EBF1
1555	EBF4
1556	EBI3
1557	EBNA1BP2
1558	EBP
1559	EBPL
1560	ECE1
1561	ECE2
1562	ECEL1
1563	ECH1
1564	ECHDC1
1565	ECHDC2
1566	ECI1
1567	ECM1
1568	ECT2
1569	EDARADD
1570	EDEM3
1571	EDN1
1572	EDNRB
1573	EED
1574	EEF1A1
1575	EEF1B2
1576	EEF2K
1577	EFCAB11
1578	EFCAB13
1579	EFCAB14
1580	EFEMP1
1581	EFEMP2
1582	EFHC1
1583	EFHD2
1584	EFNA1
1585	EFNA5
1586	EFNB1
1587	EFNB2
1588	EFR3A
1589	EGFL7
1590	EGFL8
1591	EGLN1
1592	EGLN3
1593	EGR1
1594	EGR2
1595	EGR3
1596	EHBP1L1
1597	EHD2
1598	EHD3
1599	EHD4
1600	EHF
1601	EHHADH
1602	EI24
1603	EID1
