"","T Cells","Macrophages","NK","Cancer Cells","Endothelial Cells","Monocyte","B Cells","DC","Mast Cells","Fibroblasts"
"TCGA.BQ.5880.01A",0,0.0821101116902509,0,0.647214553205177,0.100295482560462,0,0,0,0,0.17037985254411
"TCGA.MH.A856.01A",0,0.00476492035435363,0,0.618920360896059,0.183447590854927,0.00666111382734241,0,0.000426809867851201,0,0.185779204199467
"TCGA.A4.7732.01A",0,0.0229842743617578,0,0.63948958527234,0.1831037511517,0,0,0,0,0.154422389214202
"TCGA.A4.8312.01A",0,0.0360814307063643,0,0.602167663595459,0.231424353806542,0,0,0,0,0.130326551891635
"TCGA.IZ.8195.01A",0,0.00181884767864347,0,0.714638023031397,0.140660819969992,0,0,0,0,0.142882309319967
"TCGA.B9.A44B.01A",0,0,0,0.749844758547846,0.135424879954561,0,0,0,0,0.114730361497593
"TCGA.DW.7841.01A",0,0.0922805103292221,0.000174955565332226,0.561021022298865,0.16836425244558,0,0,0.00600415549790128,0,0.1721551038631
"TCGA.5P.A9K9.01A",0,0.0249641575361792,0,0.65942799330717,0.132095486944761,0,0,0,0,0.183512362211889
"TCGA.BQ.7045.01A",0,0.0573119117418316,0,0.652969462927304,0.16358734715968,0,0,0,0,0.126131278171184
"TCGA.BQ.7051.01A",0,0,0,0.758220718195853,0.147937017942416,0,0,0,0,0.0938422638617312
"TCGA.2Z.A9J6.01A",0,0.0264901133970939,0,0.746084430112248,0.117365427292146,0,0,0,0,0.110060029198512
"TCGA.B1.A657.01A",0,0.0898354813709765,0,0.554931102656193,0.179086957167773,0,0,0,0,0.176146458805058
"TCGA.2Z.A9JS.01A",0,0,0,0.570328830467141,0.217728074462359,0,0,0,0,0.2119430950705
"TCGA.UZ.A9PJ.01A",0,0,0,0.586478992072895,0.226061544097001,0,0,0,0,0.187459463830104
"TCGA.AL.A5DJ.01A",0.000256123885800201,0.123069620796603,0,0.809074196746788,0.0222625565806194,0,0,0,0,0.0453375019901899
"TCGA.B3.4103.01A",0,0.00724346599495194,0,0.498208023035519,0.259090007808565,0,0,0,0,0.235458503160964
"TCGA.UZ.A9PX.01A",0,0.0324832624395356,0,0.634029171374505,0.180786141958542,0,0,0,0,0.152701424227418
"TCGA.BQ.5885.01A",0,0.00698867207445123,0,0.735207789989776,0.0983136157643017,0,0,0,0,0.159489922171471
"TCGA.BQ.5878.01A",0,0.000186415412942416,0,0.66318122052298,0.162604135929951,0,0,0,0,0.174028228134127
"TCGA.Y8.A894.01A",0,0,0,0.497344647777451,0.287856402231064,0,0,0,0,0.214798949991485
"TCGA.DW.7840.01A",0,0.0320639333840379,0,0.619399424790095,0.184064007259075,0,0,0,0,0.164472634566793
"TCGA.B9.4116.01A",0,0,0,0.577526131269198,0.249748592122582,0,0,0,0,0.17272527660822
"TCGA.GL.A9DD.01A",0,0.177895173817853,0,0.492148481941304,0.137559215420816,0,0,0,0,0.192397128820027
"TCGA.B3.A6W5.01A",0,0.0209988129735654,0,0.649708165962859,0.16223767846671,0,0,0,0,0.167055342596866
"TCGA.HE.A5NH.01A",0,0.00196989271681103,0,0.593520804119767,0.227461605645675,0,0,0,0,0.177047697517747
"TCGA.5P.A9K3.01A",0,0.0734720332538425,0,0.841487525432262,0.0462100612307539,0,0,0,0,0.0388303800831412
"TCGA.EV.5903.01A",0,0.0429465524833005,0,0.403843923935897,0.252435993033156,0,0,0,0,0.300773530547647
"TCGA.P4.A5ED.01A",0,0.190120720886407,0,0.359697330189644,0.243276796146846,0,0,0,0,0.206905152777104
"TCGA.A4.A5XZ.01A",0,0.0724697047440191,0,0.643479211344153,0.145031475324151,0,0,0,0,0.139019608587677
"TCGA.SX.A7SO.01A",0,0.0114211765407027,0,0.645855779697855,0.181817494469493,0,0,0,0,0.16090554929195
"TCGA.2K.A9WE.01A",0,0.414364189522265,0,0.306592397202027,0.0915593366764731,0,0,0,0,0.187484076599234
"TCGA.5P.A9K8.01A",0,0.133839935650562,0,0.520076691854236,0.211875450374944,0,0,0,0,0.134207922120258
"TCGA.HE.7130.01A",0,5.00605545625187e-05,0,0.402129933109311,0.338938329151936,0.00411854243858294,0,0.0752694694697767,0,0.179493665275831
"TCGA.GL.A59R.01A",0,0.00497995407859265,0,0.611156920440848,0.203173994368292,0,0,0,0,0.180689131112267
"TCGA.2Z.A9JN.01A",0,0.0330497717000705,0,0.581941065889934,0.221209010709257,0,0,0,0,0.163800151700738
"TCGA.A4.7286.01A",0,0.136556703500437,0,0.583731367369216,0.111411773631838,0,0,0,0,0.168300155498509
"TCGA.P4.AAVL.01A",0,0.00778794716464854,0,0.637690905570173,0.101990887181842,0,0,0,0,0.252530260083337
"TCGA.G7.6789.01A",0,0,0,0.523502831260543,0.111460452048018,0,0,0,0,0.365036716691439
"TCGA.5P.A9JV.01A",0,0,0,0.45128743661845,0.30473708984331,0,0,0,0,0.243975473538241
"TCGA.MH.A561.01A",0,0.0925137366176112,0,0.564434147181943,0.181782433088119,0,0,0,0,0.161269683112326
