"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.FV.A3R2.01A",0,0,0.272180077825084,0,0.296767412757764,0.431052509417152,0
"TCGA.ZP.A9CY.01A",0,0,0.258076894916053,0,0.543196863911916,0.118911083374764,0.0798151577972667
"TCGA.NI.A8LF.01A",0,0,0.0509913469677755,0,0.71644405845026,0.232564594581964,0
"TCGA.DD.AAE2.01A",0,0,0.175076308796653,0,0.587769623089678,0.237154068113669,0
"TCGA.5C.A9VG.01A",0,0,0,0,0.398877472747204,0.540245355034141,0.0608771722186556
"TCGA.KR.A7K8.01A",0,0.000156592172325964,0.246223104464539,0,0.547745301120669,0.205875002242466,0
"TCGA.ZP.A9CZ.01A",0,0,0.379944961255039,0,0.37617871472133,0.218873269714881,0.0250030543087496
"TCGA.EP.A12J.01A",0,0,0.242791155259919,0,0.570584238322762,0.186624606417319,0
"TCGA.DD.A4NV.01A",0,0,0.0720228681775211,0,0.708518261304995,0.143390754443,0.0760681160744834
"TCGA.BC.A3KF.01A",0,0,0.0798225085699435,0,0.481232264970875,0.438945226459181,0
"TCGA.XR.A8TD.01A",0,0.00177305610784079,0.499937956646064,0,0.386237153819769,0.0817460484540118,0.030305784972314
"TCGA.DD.A4NK.01A",0,0,0.060070073520332,0,0.609432385980592,0.330497540499076,0
"TCGA.DD.AACP.01A",0,0,0.043638775983735,0,0.110055434913976,0.846305789102288,0
"TCGA.G3.A7M5.01A",0,0,0.302753410145755,0,0.302887096310515,0.39435949354373,0
"TCGA.DD.A4NS.01A",0,0,0.143983469373872,0,0.546923106277706,0.056748113900971,0.252345310447451
"TCGA.WX.AA46.01A",0,0,0.140356772264078,0,0.668751617239589,0.190891610496333,0
"TCGA.O8.A75V.01A",0,0,0.438501945133887,0,0.288568053770462,0.215991650625411,0.0569383504702394
"TCGA.DD.AACH.01A",0,0,0.199209661870838,0,0.56325957008031,0.236656087264638,0.000874680784213971
"TCGA.DD.AAVQ.01A",0,0,0.389408468721066,0,0.341038412387812,0.264938513694478,0.00461460519664464
"TCGA.RC.A7S9.01A",0,0,0.110727102251128,0,0.421546515066142,0.46772638268273,0
"TCGA.BC.A8YO.01A",0,0.00491182947006936,0.550144485394765,0,0.230320671392029,0.214623013743136,0
"TCGA.DD.A4NR.01A",0,0,0.524668026275938,0,0.303601672480997,0.123948575768391,0.0477817254746749
"TCGA.CC.A8HU.01A",0,0,0.068030969655606,0,0.233857125024875,0.692586954029452,0.00552495129006707
