gene_name,gene_ids,n_cells,total_counts,n_counts
SPRYD7,ENSG00000123178,62051,217.0,334480.6
SPSB1,ENSG00000171621,32946,195.0,213117.67
SPSB2,ENSG00000111671,35767,318.0,226425.33
SPSB3,ENSG00000162032,100873,1053.0,688303.9
SPSB4,,5533,,23280.03
SPTAN1,ENSG00000197694,112586,1098.0,735878.25
SPTB,,11634,,19966.75
SPTBN1,ENSG00000115306,114906,183.0,785912.75
SPTBN2,,10408,,57667.6
SPTBN4,,3221,,18235.879
SPTBN5,,3082,12.0,16182.64
SPTLC1,ENSG00000090054,52510,191.0,302783.66
SPTLC2,ENSG00000100596,73123,402.0,423772.7
SPTLC3,,13392,,56035.56
SPTSSA,ENSG00000165389,117937,491.0,778829.75
SPTSSB,,8151,,52473.008
SPTY2D1,ENSG00000179119,76717,641.0,466170.56
SPX,,727,,3018.5615
SQLE,ENSG00000104549,79582,784.0,526786.6
SQRDL,ENSG00000137767,69778,1930.0,481495.5
SQSTM1,ENSG00000161011,209213,2857.0,1651140.6
SRA1,ENSG00000213523,123596,1269.0,841263.3
SRBD1,ENSG00000068784,34517,234.0,191651.86
SRC,ENSG00000197122,28593,237.0,174599.81
SRCAP,ENSG00000080603,57355,33.0,335207.0
SRCIN1,,11562,,35120.86
SRD5A1,ENSG00000145545,42625,201.0,223001.33
SRD5A2,,252,,1263.5577
SRD5A3,ENSG00000128039,67852,244.0,400514.78
SREBF1,ENSG00000072310,43296,115.0,272263.47
SREBF2,ENSG00000198911,49879,337.0,306214.75
SREK1,ENSG00000153914,118517,1023.0,777715.75
SREK1IP1,ENSG00000153006,117943,1224.0,751175.2
SRF,ENSG00000112658,40850,319.0,250099.58
SRFBP1,ENSG00000151304,64062,285.0,369230.0
SRGAP1,ENSG00000196935,68014,27.0,381985.53
SRGAP2,ENSG00000266028,65071,320.0,410871.5
SRGAP2B,ENSG00000196369,33741,291.0,200806.44
SRGAP2C,ENSG00000171943,40591,469.0,244336.75
SRGAP3,ENSG00000196220,41372,1142.0,228523.6
SRGN,ENSG00000122862,199759,36349.0,2011997.4
SRI,ENSG00000075142,198563,3134.0,1552939.8
SRL,,12086,,13526.25
SRM,ENSG00000116649,120229,1552.0,900046.8
SRP14,ENSG00000140319,305697,15638.0,2878727.5
SRP19,ENSG00000153037,136763,1836.0,941337.25
SRP54,ENSG00000100883,99227,863.0,654543.7
SRP68,ENSG00000167881,75673,861.0,463902.53
SRP72,ENSG00000174780,147371,1595.0,1025210.4
SRP9,ENSG00000143742,211145,4118.0,1651609.0
SRPK1,ENSG00000096063,86987,570.0,552080.3
SRPK2,ENSG00000135250,113212,810.0,753751.0
SRPK3,,4179,,16825.752
SRPR,,25799,,179010.58
SRPRB,ENSG00000144867,91204,588.0,582194.3
SRPX,,20519,,151892.17
SRPX2,,9948,,65876.875
SRR,ENSG00000167720,22319,108.0,122722.46
SRRD,ENSG00000100104,44403,209.0,237687.86
SRRM1,ENSG00000133226,207451,2928.0,1581159.2
SRRM2,ENSG00000167978,211296,2840.0,1628555.8
SRRM3,,5312,,33209.99
SRRM4,,1315,,4427.5024
SRRM5,,1803,,6992.7974
SRRT,ENSG00000087087,74664,971.0,471057.94
SRSF1,ENSG00000136450,134463,1366.0,919381.25
SRSF10,ENSG00000188529,139159,2014.0,967725.1
SRSF11,ENSG00000116754,202336,2654.0,1526079.4
SRSF12,,12628,,49783.77
SRSF2,ENSG00000161547,233841,6479.0,1871648.5
SRSF3,ENSG00000112081,250062,8055.0,2059615.9
SRSF4,ENSG00000116350,141344,1943.0,960269.94
SRSF5,ENSG00000100650,254997,8752.0,2074516.2
SRSF6,ENSG00000124193,131257,1246.0,925005.44
SRSF7,ENSG00000115875,235642,6524.0,1910479.4
SRSF8,ENSG00000263465,66065,1247.0,413945.53
SRSF9,ENSG00000111786,191052,3765.0,1475193.5
SRXN1,,7156,,36917.496
SRY,,164,,1071.1786
SS18,ENSG00000141380,69883,665.0,416017.62
SS18L1,ENSG00000184402,33413,70.0,156455.38
SS18L2,ENSG00000008324,121690,1392.0,840283.4
SSB,ENSG00000138385,180214,2064.0,1349994.2
SSBP1,ENSG00000106028,203210,3461.0,1571388.1
SSBP2,ENSG00000145687,55835,125.0,323491.6
SSBP3,ENSG00000157216,55391,226.0,351247.88
SSBP4,ENSG00000130511,89334,1671.0,618065.44
SSC4D,,1825,,9904.009
SSC5D,ENSG00000179954,7246,,45381.305
SSFA2,ENSG00000138434,66381,158.0,422608.25
SSH1,ENSG00000084112,50719,385.0,258792.9
SSH2,ENSG00000141298,82744,626.0,522082.5
SSH3,ENSG00000172830,27489,129.0,169962.08
SSNA1,ENSG00000176101,155748,2364.0,1129300.8
SSPN,ENSG00000123096,30243,38.0,203121.11
SSPO,,722,,4174.216
SSR1,ENSG00000124783,161119,1986.0,1119005.9
SSR2,ENSG00000163479,248311,6122.0,2015308.4
SSR3,ENSG00000114850,195109,2207.0,1476345.4
SSR4,ENSG00000180879,271507,7532.0,2371453.0
SSRP1,ENSG00000149136,114650,1413.0,789676.6
SSSCA1,ENSG00000173465,89908,830.0,600908.4
SST,,5843,,39677.832
SSTR1,,1891,,10688.221
SSTR2,ENSG00000180616,20784,22.0,69402.51
SSTR3,ENSG00000278195,651,36.0,4324.0464
SSTR5,,234,,1412.0986
SSU72,ENSG00000160075,196812,2781.0,1478356.5
SSUH2,,1599,,7031.5835
SSX1,,110,,292.28198
SSX2IP,ENSG00000117155,29746,50.0,173601.64
ST13,ENSG00000100380,224428,3291.0,1767468.4
ST14,ENSG00000149418,58031,181.0,393770.38
ST18,,7005,,27824.598
ST20,ENSG00000180953,47584,188.0,295127.6
ST20-MTHFS,,8800,,37079.496
ST3GAL1,ENSG00000008513,67162,773.0,411380.03
ST3GAL2,ENSG00000157350,42396,403.0,204473.44
ST3GAL3,ENSG00000126091,17083,76.0,101856.336
ST3GAL4,ENSG00000110080,46729,237.0,314607.9
ST3GAL5,ENSG00000115525,49864,663.0,313297.2
ST3GAL6,ENSG00000064225,31892,83.0,171718.94
ST5,ENSG00000166444,41168,,264069.3
ST6GAL1,ENSG00000073849,54832,277.0,356473.5
ST6GAL2,,17087,,41195.69
ST6GALNAC1,ENSG00000070526,16136,23.0,106775.69
ST6GALNAC2,ENSG00000070731,14429,13.0,88680.945
ST6GALNAC3,ENSG00000184005,6129,60.0,38427.555
ST6GALNAC4,ENSG00000136840,37810,608.0,242673.55
ST6GALNAC5,,2703,,16720.498
ST6GALNAC6,ENSG00000160408,53270,688.0,312969.9
ST7,ENSG00000004866,29166,81.0,172214.14
ST7L,ENSG00000007341,39379,136.0,212406.9
ST8SIA1,ENSG00000111728,27056,157.0,101500.5
ST8SIA2,,601,,3269.4607
ST8SIA3,,1511,,8967.684
ST8SIA4,ENSG00000113532,58649,804.0,334522.97
ST8SIA5,,7300,,24955.158
ST8SIA6,,1994,,9203.707
STAB1,ENSG00000010327,30011,74.0,208158.34
STAB2,,152,,322.1339
STAC,ENSG00000144681,7466,28.0,43582.18
STAC2,,17593,20.0,41026.7
STAC3,ENSG00000185482,13194,112.0,86803.31
STAG1,ENSG00000118007,69135,542.0,434914.28
STAG2,ENSG00000101972,120302,944.0,804211.25
STAG3,ENSG00000066923,22349,262.0,118852.6
STAM,ENSG00000136738,48324,388.0,289110.16
STAM2,ENSG00000115145,45225,126.0,262587.12
STAMBP,ENSG00000124356,83732,590.0,527227.44
STAMBPL1,ENSG00000138134,30531,332.0,159373.83
STAP1,ENSG00000035720,8238,95.0,48462.54
STAP2,ENSG00000178078,49238,68.0,275379.84
STAR,,7931,,12004.988
STARD10,ENSG00000214530,76597,110.0,512013.16
STARD13,,18929,,110105.58
STARD3,ENSG00000131748,70547,723.0,454079.72
STARD3NL,ENSG00000010270,99258,800.0,658668.8
STARD4,ENSG00000164211,26347,173.0,150254.34
STARD5,ENSG00000172345,12087,55.0,68685.87
STARD6,,345,,2030.654
STARD7,ENSG00000084090,117667,1131.0,776289.3
STARD8,ENSG00000130052,10746,,50791.668
STARD9,ENSG00000159433,21973,124.0,85078.36
STAT1,ENSG00000115415,122401,2857.0,867103.94
STAT2,ENSG00000170581,78269,604.0,482308.97
STAT3,ENSG00000168610,176263,3418.0,1279882.9
STAT4,ENSG00000138378,35869,1017.0,248870.42
STAT5A,ENSG00000126561,36239,697.0,225502.67
STAT5B,ENSG00000173757,49513,495.0,287900.72
STAT6,ENSG00000166888,74437,604.0,465206.34
STAU1,ENSG00000124214,139876,965.0,957838.2
STAU2,ENSG00000040341,59546,357.0,356095.97
STC1,,12113,,86086.586
STC2,,7438,,47714.293
STEAP1,,36761,,263861.38
STEAP1B,,2377,,13025.238
STEAP2,,58563,,339028.25
STEAP3,ENSG00000115107,17167,,108395.79
STEAP4,ENSG00000127954,34619,30.0,184063.52
STH,,254,,1673.0524
STIL,ENSG00000123473,22547,50.0,79626.03
STIM1,ENSG00000167323,44654,448.0,268938.9
STIM2,ENSG00000109689,64492,598.0,405036.7
STIP1,ENSG00000168439,119533,1151.0,810795.06
STK10,ENSG00000072786,62471,1243.0,388987.34
STK11,ENSG00000118046,46133,206.0,269234.22
STK11IP,ENSG00000144589,17540,175.0,103277.266
STK16,ENSG00000115661,63736,694.0,410338.9
STK17A,ENSG00000164543,140569,4559.0,1040155.56
STK17B,ENSG00000081320,136352,6708.0,1054976.6
STK19,ENSG00000204344,45517,288.0,283847.7
STK24,ENSG00000102572,87839,795.0,570361.4
STK25,ENSG00000115694,90773,691.0,572495.1
STK26,ENSG00000134602,17655,281.0,97783.17
STK3,ENSG00000104375,57898,99.0,336647.94
STK31,,2906,,10390.784
STK32A,,8293,,51320.67
STK32B,,5719,,35726.465
STK32C,ENSG00000165752,30831,169.0,191722.44
STK33,,14296,,73018.11
STK35,ENSG00000125834,24436,70.0,139747.62
STK36,ENSG00000163482,13919,17.0,82103.42
STK38,ENSG00000112079,51225,394.0,313994.88
STK38L,ENSG00000211455,62510,364.0,384941.2
STK39,ENSG00000198648,44407,126.0,276773.28
STK4,ENSG00000101109,152758,3612.0,1103648.6
STK40,ENSG00000196182,46276,409.0,288240.47
STKLD1,,5578,,17617.84
STMN1,ENSG00000117632,146880,5488.0,1154122.5
STMN2,,5127,,44085.36
STMN3,ENSG00000197457,48469,730.0,328799.78
STMN4,,9883,,77033.586
STMND1,,8356,,20577.336
STOM,ENSG00000148175,108372,1468.0,757856.1
STOML1,ENSG00000067221,30410,84.0,149604.61
STOML2,ENSG00000165283,145829,1617.0,1068098.0
STON1,ENSG00000243244,13975,21.0,75090.945
STON1-GTF2A1L,,901,,3203.3467
STON2,,20110,,98137.914
STOX1,,4982,46.0,30955.281
STOX2,,10595,,63266.227
STPG1,ENSG00000001460,24760,78.0,109608.63
STPG2,,339,,1032.0183
STRA13,ENSG00000169689,81059,1703.0,618641.9
STRA6,,12250,,42862.54
STRADA,ENSG00000266173,16590,20.0,98334.516
STRADB,ENSG00000082146,42101,127.0,263996.7
STRAP,ENSG00000023734,159297,1955.0,1161056.6
STRBP,ENSG00000165209,58130,498.0,348605.66
STRC,,5161,,5450.0
STRIP1,ENSG00000143093,34238,295.0,201563.19
STRIP2,ENSG00000128578,22652,18.0,63938.293
STRN,ENSG00000115808,37150,167.0,224102.45
STRN3,ENSG00000196792,70111,186.0,423740.38
STRN4,ENSG00000090372,49201,202.0,293866.47
STS,,12519,13.0,73715.19
STT3A,ENSG00000134910,66815,216.0,404673.2
STT3B,ENSG00000163527,106674,1366.0,700594.7
STUB1,ENSG00000103266,160448,2207.0,1199249.5
STX10,ENSG00000104915,106732,1190.0,731580.56
STX11,ENSG00000135604,45319,669.0,283580.6
STX12,ENSG00000117758,86809,471.0,576027.1
STX16,ENSG00000124222,97793,597.0,606291.0
STX16-NPEPL1,,2838,,9168.137
STX17,ENSG00000136874,53752,324.0,320625.88
STX18,ENSG00000168818,53261,389.0,330178.44
STX19,,6983,,44395.547
STX1A,ENSG00000106089,17920,75.0,111539.36
STX1B,,10620,13.0,24098.283
STX2,ENSG00000111450,49384,154.0,254265.52
STX3,ENSG00000166900,56745,101.0,349285.7
STX4,ENSG00000103496,91619,748.0,592094.6
STX5,ENSG00000162236,80311,905.0,527576.9
STX6,ENSG00000135823,55627,274.0,350799.8
STX7,ENSG00000079950,92542,566.0,607554.2
STX8,ENSG00000170310,95931,986.0,640451.94
STXBP1,ENSG00000136854,25891,26.0,159136.45
STXBP2,ENSG00000076944,93091,1824.0,649016.3
STXBP3,ENSG00000116266,72898,421.0,457153.47
STXBP4,ENSG00000166263,24905,56.0,102356.86
STXBP5,ENSG00000164506,18816,61.0,108689.305
STXBP5L,,2251,,12156.918
STXBP6,ENSG00000168952,30042,,207649.89
STYK1,,6835,91.0,41109.395
STYX,ENSG00000198252,59090,288.0,307057.97
STYXL1,ENSG00000127952,55908,374.0,334463.78
SUB1,ENSG00000113387,276387,12805.0,2396893.8
SUCLA2,ENSG00000136143,61378,383.0,388127.3
SUCLG1,ENSG00000163541,127791,1390.0,869382.9
SUCLG2,ENSG00000172340,92194,876.0,605511.3
SUCNR1,ENSG00000198829,6985,14.0,42522.273
SUCO,ENSG00000094975,65628,247.0,405378.94
SUDS3,ENSG00000111707,97862,466.0,623867.7
SUFU,ENSG00000107882,16554,62.0,94242.484
SUGCT,,7770,,50659.29
SUGP1,ENSG00000105705,38022,359.0,214643.48
SUGP2,ENSG00000064607,83820,438.0,492229.03
SUGT1,ENSG00000165416,116953,1025.0,775327.25
SULF1,,15571,,111543.08
SULF2,ENSG00000196562,49889,454.0,333817.44
SULT1A1,ENSG00000196502,39655,194.0,215338.06
SULT1A2,,4931,,21832.066
SULT1A3,ENSG00000261052,16878,53.0,92628.11
SULT1A4,,6065,,24277.023
SULT1B1,ENSG00000173597,16327,11.0,72544.336
SULT1C2,,21145,,83589.15
SULT1C4,,12031,,42531.66
SULT1E1,,2709,,15621.357
SULT2A1,,15577,,34823.797
SULT2B1,,17889,,86121.53
SULT4A1,,655,,4008.411
SUMF1,ENSG00000144455,52735,165.0,292715.78
SUMF2,ENSG00000129103,124745,1063.0,854498.06
SUMO1,ENSG00000116030,211840,3757.0,1642296.5
SUMO2,ENSG00000188612,288858,11888.0,2592723.0
SUMO3,ENSG00000184900,164171,2466.0,1194320.8
SUMO4,ENSG00000177688,14849,51.0,66771.73
SUN1,ENSG00000164828,83588,293.0,528711.3
SUN2,ENSG00000100242,94562,3339.0,663716.7
SUN3,,3967,,5318.1396
SUOX,ENSG00000139531,26460,73.0,129755.35
SUPT16H,ENSG00000092201,110855,946.0,740336.4
SUPT20H,ENSG00000102710,70731,696.0,448731.4
SUPT3H,ENSG00000196284,34109,1254.0,211443.78
SUPT4H1,ENSG00000213246,150148,2143.0,1072162.5
SUPT5H,ENSG00000196235,111479,1123.0,733013.1
SUPT6H,ENSG00000109111,79601,476.0,476601.25
SUPT7L,ENSG00000119760,57585,368.0,313169.6
SUPV3L1,ENSG00000156502,37896,204.0,203269.05
SURF1,ENSG00000148290,122987,1334.0,859221.3
SURF2,ENSG00000148291,84720,681.0,563080.4
SURF4,ENSG00000148248,141763,3118.0,988619.0
SURF6,ENSG00000148296,62061,315.0,376880.06
SUSD1,ENSG00000106868,18087,282.0,107924.16
SUSD2,,7335,,50687.094
SUSD3,ENSG00000157303,43638,1523.0,312344.56
SUSD4,,9260,13.0,57674.465
SUSD5,,9269,,24231.873
SUSD6,ENSG00000100647,40731,593.0,248235.28
SUV39H1,ENSG00000101945,12512,131.0,72814.914
SUV39H2,ENSG00000152455,30530,99.0,133806.95
SUV420H1,,17286,,114327.516
SUV420H2,,6750,,42491.51
SUZ12,ENSG00000178691,95671,760.0,602205.44
SV2A,ENSG00000159164,25458,66.0,121399.48
SV2B,,15919,,19622.996
SV2C,,6235,,6311.3867
SVEP1,,6705,,29779.791
SVIL,ENSG00000197321,62532,55.0,390427.06
SVIP,ENSG00000198168,128082,1770.0,908991.25
SVOP,,14996,,23567.053
SVOPL,ENSG00000157703,2060,,16000.394
SWAP70,ENSG00000133789,86624,236.0,537922.1
SWI5,ENSG00000175854,85287,347.0,572532.8
SWSAP1,ENSG00000173928,34052,184.0,155821.64
SWT1,ENSG00000116668,12883,56.0,72368.086
SYAP1,ENSG00000169895,149431,1341.0,1031537.25
SYBU,,19527,,122343.586
SYCE1,ENSG00000171772,1815,,9536.637
SYCE1L,ENSG00000205078,34784,118.0,237362.4
SYCE2,,2471,25.0,13734.974
SYCE3,,3850,12.0,22980.908
SYCN,,4612,,34388.816
SYCP1,,1123,,3341.5474
SYCP2,ENSG00000196074,9590,40.0,52286.88
SYCP2L,ENSG00000153157,3550,,18630.715
SYCP3,,9763,,25067.084
SYDE1,,9646,,61622.91
SYDE2,ENSG00000097096,19093,,55194.008
SYF2,ENSG00000117614,190756,3215.0,1417380.1
SYK,ENSG00000165025,53189,306.0,308584.2
SYMPK,ENSG00000125755,70940,614.0,422578.03
SYN1,,3823,19.0,21758.97
SYN2,,462,,2846.6584
SYN3,,729,,3919.6863
SYNC,ENSG00000162520,51191,235.0,309777.66
SYNCRIP,ENSG00000135316,140155,1352.0,964208.25
SYNDIG1,,6834,,47730.48
SYNDIG1L,,130,,769.848
SYNE1,ENSG00000131018,65258,715.0,393851.16
SYNE2,ENSG00000054654,112293,1651.0,784977.6
SYNE3,ENSG00000176438,20919,280.0,91678.13
SYNE4,,28780,,143924.42
SYNGAP1,ENSG00000197283,16223,82.0,94836.59
SYNGR1,ENSG00000100321,43551,305.0,274506.3
SYNGR2,ENSG00000108639,159534,3367.0,1205732.5
SYNGR3,ENSG00000127561,6325,287.0,39139.473
SYNGR4,,926,,6042.8896
SYNJ1,ENSG00000159082,18732,83.0,108511.23
SYNJ2,ENSG00000078269,39580,112.0,206140.0
SYNJ2BP,ENSG00000213463,76371,290.0,431648.84
SYNJ2BP-COX16,,11899,,60730.723
SYNM,,17808,,112895.76
SYNPO,ENSG00000171992,27066,,178381.53
SYNPO2,ENSG00000172403,25096,,98329.695
SYNPO2L,,17765,,35234.03
SYNPR,,188,,1453.3442
SYNRG,ENSG00000275066,96608,1207.0,584656.8
SYP,,22500,29.0,104802.07
SYPL1,ENSG00000008282,139141,970.0,981994.94
SYPL2,,632,,3347.9639
SYS1,ENSG00000204070,80320,657.0,516881.28
SYS1-DBNDD2,,4650,,21916.662
SYT1,,12687,,84792.71
SYT11,ENSG00000132718,53727,545.0,344998.25
SYT12,,13782,,32770.734
SYT13,,15645,,50982.96
SYT14,,2646,,6868.2266
SYT15,ENSG00000204176,22144,29.0,59479.3
SYT16,,1372,,8483.807
SYT17,ENSG00000103528,30610,,157900.64
SYT2,,1135,,3352.742
SYT3,,697,,4096.578
SYT4,,3657,,26423.111
SYT5,ENSG00000129990,15226,33.0,50084.582
SYT6,,4126,,27426.295
SYT7,,14112,,90684.51
SYT8,,14482,,106180.54
SYT9,,258,,1525.8108
SYTL1,ENSG00000142765,66970,1032.0,430182.88
SYTL2,ENSG00000137501,53249,612.0,333119.16
SYTL3,ENSG00000164674,51777,1791.0,359072.44
SYTL4,,22965,,96436.93
SYTL5,,2326,,13893.0205
SYVN1,ENSG00000162298,53477,247.0,325409.22
SZRD1,ENSG00000055070,110859,1112.0,731863.06
SZT2,ENSG00000198198,35621,144.0,172396.25
TAB1,ENSG00000100324,20739,225.0,124158.695
TAB2,ENSG00000055208,66900,531.0,417460.03
TAB3,ENSG00000157625,30132,140.0,173522.81
TAC1,,1090,,7309.296
TAC3,,1583,,13663.571
TAC4,,292,,1900.143
TACC1,ENSG00000147526,122711,1385.0,845347.56
TACC2,,38202,,201354.6
TACC3,ENSG00000013810,45995,805.0,295753.16
TACO1,ENSG00000136463,52093,313.0,320881.8
TACR1,,847,,5389.73
TACR2,,1327,,7446.9688
TACSTD2,ENSG00000184292,62737,76.0,528654.8
TADA1,ENSG00000152382,19351,64.0,108124.53
TADA2A,ENSG00000276234,31730,158.0,155419.53
TADA2B,ENSG00000173011,38483,109.0,164419.23
TADA3,ENSG00000171148,125664,1807.0,810278.75
TAF1,ENSG00000147133,49775,223.0,269442.62
TAF10,ENSG00000166337,120240,1034.0,838312.4
TAF11,ENSG00000064995,97039,1034.0,639627.56
TAF12,ENSG00000120656,99800,1026.0,658527.4
TAF13,ENSG00000197780,52218,206.0,319597.75
TAF15,ENSG00000270647,100111,1204.0,680017.06
TAF1A,ENSG00000143498,23567,56.0,108654.02
TAF1B,ENSG00000115750,36375,288.0,215333.97
TAF1C,ENSG00000103168,26608,143.0,158710.3
TAF1D,ENSG00000166012,168040,1618.0,1222561.1
TAF1L,,4909,,3760.7095
TAF2,ENSG00000064313,50306,256.0,287520.22
TAF3,ENSG00000165632,62037,632.0,388174.56
TAF4,ENSG00000130699,19552,96.0,117035.625
TAF4B,ENSG00000141384,12266,45.0,70746.87
TAF5,ENSG00000148835,12645,79.0,69424.87
TAF5L,ENSG00000135801,23893,135.0,140560.2
TAF6,ENSG00000106290,61163,475.0,389209.88
TAF6L,ENSG00000162227,18760,129.0,116485.23
TAF7,ENSG00000178913,180140,2795.0,1339129.1
TAF7L,,412,,2315.9434
TAF8,ENSG00000137413,57962,379.0,297775.22
TAF9,ENSG00000273841,139688,1372.0,994134.2
TAF9B,ENSG00000187325,35161,170.0,209262.67
TAGAP,ENSG00000164691,53529,1291.0,379023.62
TAGLN,ENSG00000149591,52867,49.0,436520.06
TAGLN2,ENSG00000158710,221945,9583.0,1889040.4
TAGLN3,,6983,,51350.297
TAL1,,5157,,36011.34
TAL2,,786,,4074.7673
TALDO1,ENSG00000177156,190806,3298.0,1458956.8
TAMM41,ENSG00000144559,24279,166.0,138272.03
TANC1,,34023,,197872.16
TANC2,ENSG00000170921,48591,19.0,307516.47
TANGO2,ENSG00000183597,45988,308.0,231116.81
TANGO6,ENSG00000103047,19878,152.0,97912.75
TANK,ENSG00000136560,116726,1905.0,819229.7
TAOK1,ENSG00000160551,97074,462.0,602144.2
TAOK2,ENSG00000149930,35372,225.0,214744.56
TAOK3,ENSG00000135090,138736,1673.0,966625.4
TAP1,ENSG00000168394,117993,5005.0,835960.1
TAP2,ENSG00000204267,32749,976.0,207875.55
TAPBP,ENSG00000231925,180290,4084.0,1329527.1
TAPBPL,ENSG00000139192,45447,973.0,284610.34
TAPT1,ENSG00000169762,31264,90.0,170375.72
TARBP1,ENSG00000059588,42674,238.0,230914.53
TARBP2,ENSG00000139546,41749,186.0,256132.97
TARDBP,ENSG00000120948,112725,789.0,744740.75
TARM1,,2615,,3197.8877
TARS,ENSG00000113407,97236,702.0,635875.44
TARS2,ENSG00000143374,44223,266.0,227257.02
TARSL2,ENSG00000185418,54024,519.0,338397.34
TAS1R1,,184,,958.1592
TAS1R3,ENSG00000169962,740,,4666.537
TAS2R10,,221,,1289.6786
TAS2R13,,124,,810.23065
TAS2R14,ENSG00000212127,6862,24.0,35508.54
TAS2R19,,490,,2682.5977
TAS2R20,,1532,,5513.1357
TAS2R30,,1236,,7116.224
TAS2R31,,1049,,6081.8706
TAS2R4,,11688,15.0,30536.736
TAS2R43,,497,,2228.263
TAS2R46,,306,,1491.0128
TAS2R5,,200,,1249.3463
TAS2R50,,187,,902.62915
TASP1,ENSG00000089123,30411,177.0,179722.97
TAT,,13600,,19949.703
TATDN1,ENSG00000147687,102033,667.0,675235.8
TATDN2,ENSG00000157014,28391,253.0,166482.11
TATDN3,ENSG00000203705,52186,250.0,279747.0
TAX1BP1,ENSG00000106052,189736,2672.0,1436275.6
TAX1BP3,ENSG00000213977,103270,773.0,714623.25
TAZ,ENSG00000102125,46555,502.0,299055.03
TBC1D1,ENSG00000065882,62141,590.0,398540.25
TBC1D10A,ENSG00000099992,40931,467.0,244518.53
TBC1D10B,ENSG00000169221,44824,306.0,243789.83
TBC1D10C,ENSG00000175463,66035,4391.0,511224.66
TBC1D12,ENSG00000108239,29391,37.0,167693.48
TBC1D13,ENSG00000107021,25372,153.0,153628.84
TBC1D14,ENSG00000132405,48970,272.0,310247.56
TBC1D15,ENSG00000121749,79570,530.0,474462.34
TBC1D16,ENSG00000167291,33224,25.0,203495.27
TBC1D17,ENSG00000104946,51566,329.0,290076.2
TBC1D19,ENSG00000109680,21009,246.0,126418.36
TBC1D2,ENSG00000095383,24003,92.0,147170.36
TBC1D20,ENSG00000125875,68792,536.0,377093.28
TBC1D22A,ENSG00000054611,54498,497.0,317482.66
TBC1D22B,ENSG00000065491,17996,122.0,103862.586
TBC1D23,ENSG00000036054,51794,230.0,307198.62
TBC1D24,ENSG00000162065,39077,72.0,151329.27
TBC1D25,ENSG00000068354,22280,212.0,132822.34
TBC1D26,,657,,1746.4652
TBC1D2B,ENSG00000167202,44714,538.0,283027.22
TBC1D3,,1325,,3934.269
TBC1D30,,17903,,81224.375
TBC1D31,ENSG00000156787,16895,179.0,79385.44
TBC1D32,ENSG00000146350,17579,42.0,74729.875
TBC1D3B,,526,,1696.981
TBC1D3C,,800,,2198.8235
TBC1D3D,,722,,3827.8276
TBC1D3E,,247,,641.9892
TBC1D3F,,1591,,8423.31
TBC1D3G,,242,,619.8743
TBC1D3H,,493,,1468.6903
TBC1D3I,,317,,799.56506
TBC1D3K,,251,,590.7118
TBC1D3L,,805,,3796.9626
TBC1D4,ENSG00000136111,49482,889.0,316390.4
TBC1D5,ENSG00000131374,65157,327.0,377497.75
TBC1D7,ENSG00000145979,53424,294.0,315494.5
TBC1D8,ENSG00000204634,19060,76.0,103960.734
TBC1D8B,,24837,,125199.13
TBC1D9,ENSG00000109436,32246,67.0,201484.05
TBC1D9B,ENSG00000197226,68375,312.0,414740.8
TBCA,ENSG00000171530,238849,4232.0,1972650.2
TBCB,ENSG00000105254,178180,2930.0,1335874.5
TBCC,ENSG00000124659,74464,1119.0,489567.2
TBCCD1,ENSG00000113838,34822,128.0,161322.89
TBCD,ENSG00000141556,57822,1378.0,369327.6
TBCE,ENSG00000116957,26433,153.0,155578.6
TBCEL,ENSG00000154114,13843,59.0,83683.1
TBCK,ENSG00000145348,34157,62.0,163212.56
TBK1,ENSG00000183735,59382,523.0,367326.94
TBKBP1,ENSG00000198933,9957,71.0,60907.887
TBL1X,ENSG00000101849,39631,207.0,234044.89
TBL1XR1,ENSG00000177565,133501,999.0,917406.7
TBL1Y,,400,,1722.308
TBL2,ENSG00000106638,45713,202.0,278482.8
TBL3,ENSG00000183751,38492,358.0,237346.86
TBP,ENSG00000112592,32895,142.0,177845.81
TBPL1,ENSG00000028839,75379,593.0,486345.03
TBPL2,,3978,,2890.7468
TBR1,,486,,2743.9329
TBRG1,ENSG00000154144,103144,691.0,651815.7
TBRG4,ENSG00000136270,65960,416.0,416733.5
TBX1,,7400,20.0,40988.414
TBX10,,1272,,8258.051
TBX15,,4746,,24163.264
TBX18,,1861,,10293.786
TBX19,ENSG00000143178,7410,26.0,40665.555
TBX2,,12456,,85652.12
TBX21,ENSG00000073861,10462,396.0,64099.94
TBX3,,30368,,220102.17
TBX4,,286,,505.07626
TBX5,,1616,,9973.115
TBX6,,10640,16.0,35454.29
TBXA2R,,23836,,74648.86
TBXAS1,ENSG00000059377,49854,325.0,334885.12
TC2N,ENSG00000165929,52966,340.0,348871.03
TCAF1,ENSG00000198420,36523,296.0,233785.7
TCAF2,ENSG00000170379,11400,169.0,46945.98
TCAIM,ENSG00000179152,42044,226.0,252887.9
TCAP,,2467,,15407.046
TCEA1,ENSG00000187735,186457,2638.0,1391823.5
TCEA2,ENSG00000171703,71497,364.0,485981.25
TCEA3,ENSG00000204219,51447,55.0,356787.28
TCEAL1,ENSG00000172465,58160,202.0,375320.53
TCEAL2,,10932,,75901.375
TCEAL3,ENSG00000196507,85998,190.0,586560.56
TCEAL4,ENSG00000133142,144953,291.0,1060412.5
TCEAL5,,6011,,40166.824
